,original_user_id,book_id,book_name,url,image_url,rating
0,faa322d2624b0e7eb3064e39dac4af9c,12067,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",https://www.goodreads.com/book/show/12067.Good_Omens,https://images.gr-assets.com/books/1392528568m/12067.jpg,6.1418085
1,f4d16ea4ac59af59d257631398af39f4,13372690,"Slammed (Slammed, #1)",https://www.goodreads.com/book/show/13372690-slammed,https://images.gr-assets.com/books/1328530463m/13372690.jpg,7.0131454
2,15c6776febb28eb8af78fd9a78442311,13372690,"Slammed (Slammed, #1)",https://www.goodreads.com/book/show/13372690-slammed,https://images.gr-assets.com/books/1328530463m/13372690.jpg,6.421499
3,869f7931c730798de6310de9445453e7,13372690,"Slammed (Slammed, #1)",https://www.goodreads.com/book/show/13372690-slammed,https://images.gr-assets.com/books/1328530463m/13372690.jpg,13.028947
4,3e6c3b92cc90df443925c58f8899be6e,29394,"Cursor's Fury (Codex Alera, #3)",https://www.goodreads.com/book/show/29394.Cursor_s_Fury,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,5.141913
5,f8a89075dc6de14857561522e729f82c,29394,"Cursor's Fury (Codex Alera, #3)",https://www.goodreads.com/book/show/29394.Cursor_s_Fury,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,5.7846274
6,d3492185291fee0103a736299debaed9,186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,https://images.gr-assets.com/books/1472068073m/186074.jpg,6.740699
7,05bc211d0c5aee6d524a84a1ea2c8eef,186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,https://images.gr-assets.com/books/1472068073m/186074.jpg,6.229026
8,e180ead13b5022e2c579c27aff0f7ada,186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",https://www.goodreads.com/book/show/186074.The_Name_of_the_Wind,https://images.gr-assets.com/books/1472068073m/186074.jpg,5.5124507
9,697f200a9a139d87b22c4d8b653a210f,908092,The God Project,https://www.goodreads.com/book/show/908092.The_God_Project,https://images.gr-assets.com/books/1320462134m/908092.jpg,7.0599403
